date,sp500,monthly_return,monthly_volatility,hist_var95,hist_var99,hist_es95,hist_es99,rolling_volatility,rolling_skewness,rolling_kurtosis,trading_days
2008-01-31,1378.550048828125,-0.047410088539691975,0.24568632689821732,,,,,,,,20
2008-02-29,1330.6300048828125,-0.03476119273728806,0.2064914838232305,,,,,,,,20
2008-03-31,1322.699951171875,-0.005959623397817304,0.28765535022580047,,,,,,,,20
2008-04-30,1385.5899658203125,0.047546697641228874,0.18175638259243385,,,,,,,,22
2008-05-31,1400.3800048828125,0.010674181704068753,0.14376990246868768,,,,,,,,21
2008-06-30,1280.0,-0.08596238482631469,0.19763658066406495,,,,,,,,21
2008-07-31,1267.3800048828125,-0.009859371185303,0.23142334890276736,,,,,,,,22
2008-08-31,1282.8299560546875,0.012190464669120882,0.20763270675975562,,,,,,,,21
2008-09-30,1166.3599853515625,-0.09079143354379215,0.5516043299147702,,,,,,,,21
2008-10-31,968.75,-0.16942452401777075,0.7994984711609643,,,,,,,,23
2008-11-30,896.239990234375,-0.07484904233870948,0.7109309687958353,,,,,,,,19
2008-12-31,903.25,0.007821576633499472,0.4973866445359993,-0.04515376294705314,-0.0855771725390119,-0.06691075884271257,-0.09347374628932671,0.41081949565188647,-0.03929691460013697,3.759669291804614,22
2009-01-31,825.8800048828125,-0.0856573430580545,0.39421636535165605,-0.04828525627583017,-0.0855771725390119,-0.06737068422308604,-0.09347374628932671,0.4196317564205621,-0.033299828065000134,3.3352320619961686,20
2009-02-28,735.0900268554688,-0.10993119762019965,0.3636671852073242,-0.049224319241903465,-0.0855771725390119,-0.067530733209414,-0.09347374628932671,0.42809873250160835,-0.009932428894577397,2.9488914054534368,19
2009-03-31,797.8699951171875,0.08540446199532226,0.48504030226712824,-0.049224319241903465,-0.0855771725390119,-0.067530733209414,-0.09347374628932671,0.4419931334484559,0.0297667179018652,2.547419533147534,22
2009-04-30,872.8099975585938,0.09392507914826353,0.3003373641534432,-0.049224319241903465,-0.0855771725390119,-0.067530733209414,-0.09347374628932671,0.44903343840351195,0.0013829576104544077,2.2493874992830865,21
2009-05-31,919.1400146484375,0.05308144638516632,0.2863978375086635,-0.049224319241903465,-0.0855771725390119,-0.067530733209414,-0.09347374628932671,0.45439400002528846,-0.0007419330574535843,2.0301633224883076,20
2009-06-30,919.3200073242188,0.0001958272656092941,0.20468188799210585,-0.049224319241903465,-0.0855771725390119,-0.067530733209414,-0.09347374628932671,0.4546899377807989,-0.030727876809250754,2.018121560729417,22
2009-07-31,987.47998046875,0.07414172714778422,0.20537442006115944,-0.049224319241903465,-0.0855771725390119,-0.067530733209414,-0.09347374628932671,0.45410162699851603,-0.0611355061678271,2.0506646738648797,22
2009-08-31,1020.6199951171875,0.033560188868544394,0.16370917345018843,-0.049224319241903465,-0.0855771725390119,-0.067530733209414,-0.09347374628932671,0.45276209364956743,-0.07457573002291686,2.1067040770384,21
2009-09-30,1057.0799560546875,0.03572334572311986,0.15277850186175823,-0.0471300748379404,-0.07425553218395285,-0.06411167908676298,-0.08915190327852669,0.4270883944900378,0.012453042882725467,2.6910036472012875,21
2009-10-31,1036.18994140625,-0.019762000526814316,0.21654528977550053,-0.03865869866469165,-0.058595320490457195,-0.05491463621746605,-0.0753746210117311,0.35925086112244375,-0.2919997770259247,1.928271437170024,22
2009-11-30,1095.6300048828125,0.057364061453727855,0.15581525538993646,-0.030071678974870706,-0.04902901131517977,-0.0445961353907001,-0.06605573525209024,0.3067944340260048,-0.3869017114429941,2.7906626681219024,20
2009-12-31,1115.0999755859375,0.017770570919338313,0.10506058281398468,-0.02896627358006902,-0.04717457039525911,-0.03967622486668078,-0.05079085762304473,0.27265971915630693,-0.060830159331763875,1.9124323582897933,22
2010-01-31,1073.8699951171875,-0.03697424569226204,0.1645515443251203,-0.024331000506834476,-0.04515188157311649,-0.03613328141229428,-0.04824668602110865,0.25431392277074377,0.05199805982084255,2.382012977295906,19
2010-02-28,1104.489990234375,0.028513689046546054,0.1813940487372161,-0.02394058235777968,-0.039371073019180275,-0.032096483706030715,-0.0449791333594757,0.23781632282700685,0.19965393531730433,2.7407551085986612,19
2010-03-31,1169.4300537109375,0.058796425545497355,0.07465020370216213,-0.02093392006495362,-0.03031301778334231,-0.0274706899971906,-0.035482143174095954,0.19138868040213436,-0.33558035853466156,1.1402342868606612,23
2010-04-30,1186.68994140625,0.014759230482012775,0.15059457701573184,-0.019799815793180867,-0.029010739852497313,-0.025598655157366073,-0.03076396840219628,0.17629685416097612,-0.33357309477301755,0.8795321024269688,21
2010-05-31,1089.4100341796875,-0.08197584207319075,0.3205338907575548,-0.021001383792149494,-0.031351535273125584,-0.027743367644819685,-0.03476003084384561,0.18205156194777958,-0.3688102101903376,1.567611238360597,20
2010-06-30,1030.7099609375,-0.053882442239838735,0.25660261704741333,-0.021001383792149494,-0.032249622500943716,-0.02861965355617501,-0.035887226190520344,0.18801473746581918,-0.331086185181736,1.4565315500885716,22
2010-07-31,1101.5999755859375,0.06877784957463517,0.19813633778070136,-0.020921414222445582,-0.032249622500943716,-0.028593901623466707,-0.035887226190520344,0.18689896170177786,-0.33393545439799877,1.4941848444410109,21
2010-08-31,1049.3299560546875,-0.04744918363260453,0.17715811255489586,-0.020921414222445582,-0.032249622500943716,-0.028903397404142724,-0.035887226190520344,0.18847274414504545,-0.2857853508713771,1.4227546199286278,22
2010-09-30,1141.199951171875,0.08755110305113534,0.15720471647269788,-0.019400135265501876,-0.032249622500943716,-0.028700486621714646,-0.035887226190520344,0.18944358836510636,-0.23966410140043623,1.4552889477286886,21
2010-10-31,1183.260009765625,0.03685599403554063,0.11287311930184246,-0.018101576606941228,-0.032249622500943716,-0.028106182084977362,-0.035887226190520344,0.18389904391941528,-0.25448623295202544,1.8365257886508881,21
2010-11-30,1180.550048828125,-0.002290249746576989,0.14778372458515368,-0.017185698717362863,-0.032249622500943716,-0.027248360954927213,-0.035887226190520344,0.18103292168544724,-0.19874415754616775,1.9318565380106412,21
2010-12-31,1257.6400146484375,0.06530004034715531,0.08746838250546779,-0.017185698717362863,-0.032249622500943716,-0.027248360954927213,-0.035887226190520344,0.18061711192234442,-0.21229656913501216,2.023579893897569,22
2011-01-31,1286.1199951171875,0.022645574359139164,0.1056475557960972,-0.017006651898326904,-0.032249622500943716,-0.02675434590707976,-0.035887226190520344,0.17669735892676858,-0.23820371679437632,2.3796197513782924,20
